#,Name,Type,Kind,Power,Accuracy,PP
1,Pound,Normal,Physical,40,100%,35
2,Karate Chop,Fighting,Physical,50,100%,25
3,DoubleSlap,Normal,Physical,15,85%,10
4,Comet Punch,Normal,Physical,18,85%,15
5,Mega Punch,Normal,Physical,80,85%,20
6,Pay Day,Normal,Physical,40,100%,20
7,Fire Punch,Fire,Physical,75,100%,15
8,Ice Punch,Ice,Physical,75,100%,15
9,ThunderPunch,Electric,Physical,75,100%,15
10,Scratch,Normal,Physical,40,100%,35
11,ViceGrip,Normal,Physical,55,100%,30
12,Guillotine,Normal,Physical,0,30%,5
13,Razor Wind,Normal,Special,80,100%,10
14,Swords Dance,Normal,Status,0,,30
15,Cut,Normal,Physical,50,95%,30
16,Gust,Flying,Special,40,100%,35
17,Wing Attack,Flying,Physical,60,100%,35
18,Whirlwind,Normal,s+,0,100%,20
19,Fly,Flying,Physical,90,95%,15
20,Bind,Normal,Physical,15,85%,20
21,Slam,Normal,Physical,80,75%,20
22,Vine Whip,Grass,Physical,35,100%,15
23,Stomp,Normal,Physical,65,100%,20
24,Double Kick,Fighting,Physical,30,100%,30
25,Mega Kick,Normal,Physical,120,75%,5
26,Jump Kick,Fighting,Physical,100,95%,10
27,Rolling Kick,Fighting,Physical,60,85%,15
28,Sand-Attack,Ground,acc-,0,100%,15
29,Headbutt,Normal,Physical,70,100%,15
30,Horn Attack,Normal,Physical,65,100%,25
31,Fury Attack,Normal,Physical,15,85%,20
32,Horn Drill,Normal,Physical,0,30%,5
33,Tackle,Normal,Physical,50,100%,35
34,Body Slam,Normal,Physical,85,100%,15
35,Wrap,Normal,Physical,15,90%,20
36,Take Down,Normal,Physical,90,85%,20
37,Thrash,Normal,Physical,120,100%,10
38,Double-Edge,Normal,Physical,120,100%,15
39,Tail Whip,Normal,d-,0,100%,30
40,Poison Sting,Poison,Physical,15,100%,35
41,Twineedle,Bug,Physical,25,100%,20
42,Pin Missile,Bug,Physical,14,85%,20
43,Leer,Normal,d-,0,100%,30
44,Bite,Dark,Physical,60,100%,25
45,Growl,Normal,a-,0,100%,40
46,Roar,Normal,Status,0,100%,20
47,Sing,Normal,Status,0,55%,15
48,Supersonic,Normal,Status,0,55%,20
49,SonicBoom,Normal,Special,20,90%,20
50,Disable,Normal,d-,0,100%,20
51,Acid,Poison,Special,40,100%,30
52,Ember,Fire,Special,40,100%,25
53,Flamethrower,Fire,Special,95,100%,15
54,Mist,Ice,d+,0,,30
55,Water Gun,Water,Special,40,100%,25
56,Hydro Pump,Water,Special,120,80%,5
57,Surf,Water,Special,95,100%,15
58,Ice Beam,Ice,Special,95,100%,10
59,Blizzard,Ice,Special,120,70%,5
60,Psybeam,Psychic,Special,65,100%,20
61,BubbleBeam,Water,Special,65,100%,20
62,Aurora Beam,Ice,Special,65,100%,20
63,Hyper Beam,Normal,Special,150,90%,5
64,Peck,Flying,Physical,35,100%,35
65,Drill Peck,Flying,Physical,80,100%,20
66,Submission,Fighting,Physical,80,80%,25
67,Low Kick,Fighting,Physical,50,100%,20
68,Counter,Fighting,Physical,50,100%,20
69,Seismic Toss,Fighting,Physical,50,100%,20
70,Strength,Normal,Physical,80,100%,15
71,Absorb,Grass,Special,20,100%,25
72,Mega Drain,Grass,Special,40,100%,15
73,Leech Seed,Grass,d-,0,90%,10
74,Growth,Normal,a+,0,,40
75,Razor Leaf,Grass,Physical,55,95%,25
76,SolarBeam,Grass,Special,120,100%,10
77,PoisonPowder,Poison,d-,0,75%,35
78,Stun Spore,Grass,s-,0,75%,30
79,Sleep Powder,Grass,s-,0,75%,15
80,Petal Dance,Grass,Special,120,100%,10
81,String Shot,Bug,s-,0,95%,40
82,Dragon Rage,Dragon,Special,40,100%,10
83,Fire Spin,Fire,Special,35,85%,15
84,ThunderShock,Electric,Special,40,100%,30
85,Thunderbolt,Electric,Special,95,100%,15
86,Thunder Wave,Electric,s-,0,100%,20
87,Thunder,Electric,Special,120,70%,10
88,Rock Throw,Rock,Physical,50,90%,15
89,Earthquake,Ground,Physical,100,100%,10
90,Fissure,Ground,Physical,0,30%,5
91,Dig,Ground,Physical,80,100%,10
92,Toxic,Poison,d-,0,90%,10
93,Confusion,Psychic,Special,50,100%,25
94,Psychic,Psychic,Special,90,100%,10
95,Hypnosis,Psychic,s-,0,60%,20
96,Meditate,Psychic,a+,0,,40
97,Agility,Psychic,s+,0,,30
98,Quick Attack,Normal,Physical,40,100%,30
99,Rage,Normal,Physical,20,100%,20
100,Teleport,Psychic,s+,0,,20
101,Night Shade,Ghost,Special,50,100%,15
102,Mimic,Normal,a+,0,100%,10
103,Screech,Normal,d-,0,85%,40
104,Double Team,Normal,acc-,0,,15
105,Recover,Normal,d+,0,,10
106,Harden,Normal,d+,0,,30
107,Minimize,Normal,acc-,0,,20
108,SmokeScreen,Normal,acc-,0,100%,20
109,Confuse Ray,Ghost,d-,0,100%,10
110,Withdraw,Water,d+,0,,40
